cityid,cityname,lattitude,longitude
51554,"Kegaon,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
51555,"ONGC-dronagiri,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
51556,"Sheva,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
51557,"Uran,Raigarh(MH),400702,MAHARASHTRA",18.88104057,72.94470978
51558,"K.U.Bazar,Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51559,"Sanpada,Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51560,"Turbhe Market,Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51561,"Turbhe,Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51562,"Vashi (Thane),Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51563,"Vashi Sec-26,Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51564,"Vashi-VII,Thane,400703,MAHARASHTRA",19.07777214,73.00038147
51565,"Mora,Raigarh(MH),400704,MAHARASHTRA",19.07780075,72.89440155
51566,"N.S.Karanja,Raigarh(MH),400704,MAHARASHTRA",19.07780075,72.89440155
51567,"Darave,Thane,400706,MAHARASHTRA",19.01398659,73.0163269
51568,"Nerul Node-II,Thane,400706,MAHARASHTRA",19.01398659,73.0163269
51569,"Nerul Node-III,Thane,400706,MAHARASHTRA",19.01398659,73.0163269
51570,"Nerul Sec-48,Thane,400706,MAHARASHTRA",19.01398659,73.0163269
51571,"Jaskhar,Raigarh(MH),400707,MAHARASHTRA",18.90120888,72.9753952
51572,"Jnpt,Raigarh(MH),400707,MAHARASHTRA",18.90120888,72.9753952
51573,"Navghar,Raigarh(MH),400707,MAHARASHTRA",18.90120888,72.9753952
51574,"Airoli,Thane,400708,MAHARASHTRA",19.17357445,73.00418854
51575,"Airoli,Thane,400708,MAHARASHTRA",19.17357445,73.00418854
51576,"Kopar Khairne,Thane,400709,MAHARASHTRA",19.10142708,73.00386047
51577,"Millenium Business Park,Thane,400710,MAHARASHTRA",19.1084671,73.02077484
51578,"Bhayander West,Thane,401101,MAHARASHTRA",19.296278,72.85525513
51579,"Rai,Thane,401101,MAHARASHTRA",19.296278,72.85525513
51580,"Agarwadi,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51581,"Dahisar tymanor,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51582,"Datiware,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51583,"Dhekale,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51584,"Edwan,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51585,"Navghar,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51586,"Pargaon,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51587,"Tandulwadi,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51588,"Tembhikhodave,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51589,"Umbarpada,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51590,"Usarani,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51591,"Virathan Budruk,Thane,401102,MAHARASHTRA",19.49948311,72.80839539
51592,"Asangaon,Thane,401103,MAHARASHTRA",19.87446594,72.76268768
51593,"Bavada,Thane,401103,MAHARASHTRA",19.87446594,72.76268768
51594,"Chandigaon,Thane,401103,MAHARASHTRA",19.87446594,72.76268768
51595,"Gowane,Thane,401103,MAHARASHTRA",19.87446594,72.76268768
51596,"Vangaon,Thane,401103,MAHARASHTRA",19.87446594,72.76268768
51597,"Bhayander East,Thane,401105,MAHARASHTRA",19.31204224,72.8583374
51598,"Dongri,Thane,401106,MAHARASHTRA",19.28118134,72.82314301
51599,"Uttan,Thane,401106,MAHARASHTRA",19.28118134,72.82314301
51600,"Ghodbander,Thane,401107,MAHARASHTRA",19.27978516,72.8657608
51601,"Kashi,Thane,401107,MAHARASHTRA",19.27978516,72.8657608
51602,"Mira Road,Thane,401107,MAHARASHTRA",19.27978516,72.8657608
51603,"Mira,Thane,401107,MAHARASHTRA",19.27978516,72.8657608
51604,"Bassein,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51605,"Bhuigaon,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51606,"Girij,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51607,"Holi Bazar,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51608,"Kaular Budruk,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51609,"Mulgaon,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51610,"Saloli,Thane,401201,MAHARASHTRA",19.35834312,72.80536652
51611,"Bassein Road,Thane,401202,MAHARASHTRA",19.37794304,72.8269577
51612,"Umela,Thane,401202,MAHARASHTRA",19.37794304,72.8269577
